"time","open","close","high","low","volume","turnover"
"2022-06-04 21:35","1.407","1.406","1.411","1.403","20136.82038498","28312.75577228404"
"2022-06-04 21:40","1.407","1.421","1.423","1.407","25927.64700479","36701.91689268974"
"2022-06-04 21:45","1.42","1.419","1.423","1.405","43411.65071301","61414.53261940781"
"2022-06-04 21:50","1.419","1.417","1.42","1.413","8060.45329072","11421.26681680327"
"2022-06-04 21:55","1.416","1.42","1.42","1.41","8904.69333355","12601.78102383389"
"2022-06-04 22:00","1.42","1.422","1.428","1.417","23693.74918795","33679.51280776714"
"2022-06-04 22:05","1.422","1.431","1.435","1.42","24520.17905824","35044.265844139"
"2022-06-04 22:10","1.432","1.432","1.446","1.427","39590.99393066","56902.43640252985"
"2022-06-04 22:15","1.432","1.434","1.44","1.432","16870.82991333","24228.54903525903"
"2022-06-04 22:20","1.433","1.422","1.435","1.418","15079.35546656","21514.80207802817"
"2022-06-04 22:25","1.423","1.412","1.424","1.408","32531.25477307","46135.72053668591"
"2022-06-04 22:30","1.412","1.411","1.417","1.407","34785.94249603","49135.72084961856"
"2022-06-04 22:35","1.41","1.397","1.414","1.393","65121.96127807","91309.12079760487"
"2022-06-04 22:40","1.396","1.401","1.401","1.392","26858.51749226","37485.11518448844"
"2022-06-04 22:45","1.401","1.406","1.409","1.4","15654.89445534","22005.06020331508"
"2022-06-04 22:50","1.406","1.4","1.411","1.4","9893.66706542","13893.91940247015"
"2022-06-04 22:55","1.4","1.396","1.406","1.394","5181.58216156","7249.59064249131"
"2022-06-04 23:00","1.395","1.396","1.398","1.386","33403.27687127","46536.22960226293"
"2022-06-04 23:05","1.397","1.403","1.403","1.397","5470.43876503","7658.97936433284"
"2022-06-04 23:10","1.403","1.41","1.418","1.402","18118.26450002","25558.11817603348"
"2022-06-04 23:15","1.41","1.399","1.411","1.399","7553.51838794","10622.67676175152"
"2022-06-04 23:20","1.4","1.389","1.4","1.385","41338.1584016","57448.37302037791"
"2022-06-04 23:25","1.389","1.383","1.389","1.376","23500.05173575","32474.1972816976"
