"time","open","close","high","low","volume","turnover"
"2024-02-24 22:10","17658","17572","17658","17550","0.0312","548.9336"
"2024-02-24 22:15","17553","17599","17602","17549","0.0211","370.3816"
"2024-02-24 22:20","17517.01","17700","17700","17517","0.0816","1439.6116"
"2024-02-24 22:25","17623","17700","17745","17622","0.1779","3146.772809"
"2024-02-24 22:30","17700.01","17700","17700.01","17700","0.0111","196.47001"
"2024-02-24 22:35","17754.83","17700","17774","17700","0.01","177.563054"
"2024-02-24 22:40","17773.99","17700","17774","17700","0.0463","820.18339"
"2024-02-24 22:45","17766","17766","17766","17766","0.0003","5.3298"
"2024-02-24 22:50","17764","17764","17764","17764","0.0019","33.7516"
"2024-02-24 22:55","17764","17806","17806","17753","0.0144","255.870088"
"2024-02-24 23:00","17751","17754","17754","17751","0.0104","184.6248"
"2024-02-24 23:05","17751","17751","17751","17751","0.0023","40.8273"
"2024-02-24 23:10","17701.12","17751","17751","17700","0.0233","412.70758"
"2024-02-24 23:15","17850.07","17815","17850.07","17757.01","0.0038","67.661262"
"2024-02-24 23:20","17815","17850.07","17850.07","17815","0.0009","16.058049"
"2024-02-24 23:25","17864.94","17916","17921","17864.94","0.0041","73.375244"
"2024-02-24 23:30","17906","18093","18093","17906","0.0737","1327.479991"
"2024-02-24 23:35","18104.59","18117","18180","18104.59","0.0145","263.102766"
"2024-02-24 23:40","18053","18159","18159","18053","0.0479","867.769918"
"2024-02-24 23:45","18068","18068","18068","18068","0.001","18.068"
"2024-02-24 23:50","18136","18074","18189","18074","0.0145","262.923"
"2024-02-24 23:55","18008","17963","18008","17945","0.0208","373.502223"
"2024-02-25 00:00","17964","18256.4","18263.11","17964","0.3671","6677.350575"
"2024-02-25 00:05","18284.81","18767.26","18767.26","18284.81","0.0521","961.39943"
"2024-02-25 00:10","18772.87","18728.49","18791.76","18728.49","0.0052","97.499572"
"2024-02-25 00:15","18750","17982","18816","17875.26","0.373","6840.957519"
"2024-02-25 00:20","17872","17940","18041","17872","0.0435","777.6181"
"2024-02-25 00:25","17933","17933","17933","17933","0.0007","12.5531"
"2024-02-25 00:30","17870","17913","17913","17722","0.0776","1379.783691"
"2024-02-25 00:35","17913","17913","17913","17913","0.0033","59.1129"
"2024-02-25 00:40","17915","17981","18034.98","17915","0.0483","869.240985"
"2024-02-25 00:45","17973","17973","17973","17973","0.0137","246.2301"
"2024-02-25 00:50","18014","18100","18100","18014","0.1205","2178.677383"
"2024-02-25 00:55","18090","18090","18090","18090","0.0008","14.472"
"2024-02-25 01:00","18090","18090","18090","18090","0.0736","1331.424"
"2024-02-25 01:05","18090","18090","18090","18090","0.0002","3.618"
"2024-02-25 01:10","18099","18090","18099","18090","0.0046","83.2239"
"2024-02-25 01:15","18090.01","18090","18090.01","18090","0.0048","86.832006"
"2024-02-25 01:20","18090","18090","18090","18090","0.0476","861.084"
"2024-02-25 01:25","18100","18100","18100","18100","0.0058","104.98"
"2024-02-25 01:30","18090","18008","18090","17913","0.1012","1824.622"
"2024-02-25 01:35","17913","17700","17913","17700","0.2609","4621.136549"
"2024-02-25 01:40","17718","17819","17819","17700","0.0136","241.1017"
"2024-02-25 01:45","17811","17776","17811","17776","0.0021","37.3646"
"2024-02-25 01:50","17776","17776","17776","17700","0.0417","740.5848"
"2024-02-25 01:55","17776","17776","17776","17776","0.0083","147.5408"
"2024-02-25 02:00","17700","17676","17740","17635","0.0215","380.079179"
"2024-02-25 02:05","17676","17676","17676","17676","0.004","70.704"
"2024-02-25 02:10","17676","17675","17676","17675","0.0027","47.7238"
"2024-02-25 02:15","17776","17752","17776","17752","0.0135","239.9715"
"2024-02-25 02:20","17751","17749","17751","17749","0.0117","207.6753"
"2024-02-25 02:25","17749","17749","17749","17675.61","0.0171","303.500561"
"2024-02-25 02:30","17749","17749","17749","17749","0","0"
"2024-02-25 02:35","17749","17749","17749","17749","0.0502","890.9998"
"2024-02-25 02:40","17749","17749","17749","17749","0.0238","422.4262"
"2024-02-25 02:45","17749","17749","17749","17749","0.003","53.247"
"2024-02-25 02:50","17749","17749","17749","17749","0.0654","1160.7846"
