"time","open","close","high","low","volume","turnover"
"2021-11-06 20:45","407.46","407.46","407.46","407.46","0","0"
"2021-11-06 20:50","407.46","407.18","407.46","407.18","1.1057","450.221805"
"2021-11-06 20:55","407.88","407.88","410.74","407.88","1.4725083","602.636769142"
"2021-11-06 21:00","407.88","407.88","407.88","407.88","0.0228","9.299664"
"2021-11-06 21:05","407.88","407.88","407.88","407.88","0","0"
"2021-11-06 21:10","410.14","409.95","410.24","409.95","0.0588","24.119484"
"2021-11-06 21:15","408.52","406.9","409.95","406.9","0.7304","298.67838"
"2021-11-06 21:20","406.89","407.71","407.71","405.18","1.2646","512.75393"
"2021-11-06 21:25","407.78","408.24","408.24","407.78","0.3828","156.10025"
"2021-11-06 21:30","407.18","407.18","407.18","407.18","0.0022","0.895796"
"2021-11-06 21:35","408.55","410.04","410.04","408.55","3.58681047","1466.7273831188"
"2021-11-06 21:40","409","410.04","410.04","407.57","9.25519393","3794.0919160572"
"2021-11-06 21:45","407.51","406.49","407.51","406.49","0.32","130.118964"
"2021-11-06 21:50","406.49","406.49","406.49","406.49","0","0"
"2021-11-06 21:55","406.49","406.49","406.49","406.49","0","0"
"2021-11-06 22:00","406.49","406.49","406.49","406.49","0","0"
"2021-11-06 22:05","406.89","406.89","406.89","406.89","0.0042","1.708938"
"2021-11-06 22:10","406.89","406.89","406.89","406.89","0","0"
"2021-11-06 22:15","406.89","409.09","409.09","406.89","0.0252","10.256488"
"2021-11-06 22:20","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:25","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:30","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:35","409.09","409.09","409.09","409.09","0.0077","3.149993"
"2021-11-06 22:40","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:45","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:50","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 22:55","409.09","409.09","409.09","409.09","0","0"
"2021-11-06 23:00","406.89","405.72","406.89","405.72","0.0772","31.392266"
"2021-11-06 23:05","405.72","405.72","405.72","405.72","0","0"
"2021-11-06 23:10","405.72","405.72","405.72","405.72","0","0"
"2021-11-06 23:15","407","407","407","407","0.0014","0.5698"
"2021-11-06 23:20","405.72","404.61","407","404.61","2.2153","897.803223"
"2021-11-06 23:25","404.61","404.61","404.61","404.61","0","0"
"2021-11-06 23:30","404.52","406.69","406.69","404.11","1.1953","483.074418"
"2021-11-06 23:35","406.69","411.05","411.05","406.69","1.0471","427.33064"
"2021-11-06 23:40","409.43","409.43","411.03","409.43","0.18405878","75.4368183434"
"2021-11-06 23:45","409.43","409.43","409.43","409.43","0.0023","0.941689"
"2021-11-06 23:50","409.43","409.43","409.43","409.43","0","0"
"2021-11-06 23:55","409.43","409.43","409.43","409.43","0","0"
"2021-11-07 00:00","409.24","409.24","409.24","409.24","0.0122","4.992728"
"2021-11-07 00:05","408.24","407.46","408.24","407.46","0.2651","108.040145"
"2021-11-07 00:10","409.22","408.55","409.22","408.55","0.5802","237.293475"
"2021-11-07 00:15","407.29","408.55","408.55","407.29","0.0029","1.183409"
"2021-11-07 00:20","407.29","407.16","407.29","407.16","0.0171","6.962513"
"2021-11-07 00:25","407.16","407.16","407.16","407.16","0","0"
"2021-11-07 00:30","407.16","407.16","407.16","407.16","0","0"
"2021-11-07 00:35","407.16","407.16","407.16","407.16","0","0"
"2021-11-07 00:40","408.35","408.35","408.35","408.35","0.0026","1.06171"
"2021-11-07 00:45","408.35","408.35","408.35","408.35","0","0"
"2021-11-07 00:50","408.75","406.69","408.75","406.69","0.48323058","197.409733575"
"2021-11-07 00:55","406.69","406.19","406.69","406.19","1.1684","474.60849"
"2021-11-07 01:00","409.09","407.08","409.09","407.08","0.0769","31.32786"
"2021-11-07 01:05","407.08","407.08","407.08","407.08","2.48","1009.5584"
"2021-11-07 01:10","407.08","407.08","407.08","407.08","0","0"
"2021-11-07 01:15","407.28","407.28","407.28","407.28","4.5866","1868.030448"
"2021-11-07 01:20","409.09","410.33","410.33","409.09","0.1127","46.155664"
"2021-11-07 01:25","410.33","410.33","410.33","410.33","0.0013","0.533429"
"2021-11-07 01:30","410.33","410.33","410.33","410.33","0","0"
"2021-11-07 01:35","408.08","407.78","408.08","407.78","0.0732","29.854257"
"2021-11-07 01:40","407.78","407.78","407.78","407.78","0.0162","6.606036"
"2021-11-07 01:45","409.05","409.05","409.05","409.05","0.0024","0.98172"
"2021-11-07 01:50","409.05","409.05","409.05","409.05","0","0"
"2021-11-07 01:55","407.72","405.9","407.72","405.9","1.0308","418.501485"
"2021-11-07 02:00","405.9","405.9","405.9","405.9","0","0"
"2021-11-07 02:05","408.08","409.04","409.04","408.08","0.3744","153.138492"
"2021-11-07 02:10","409.04","409.04","409.04","409.04","2.7231","1113.856824"
"2021-11-07 02:15","409.04","409.04","409.04","409.04","0","0"
"2021-11-07 02:20","406.02","405.9","406.02","405.9","0.1106","44.892884"
"2021-11-07 02:25","408.08","408.45","408.45","408.08","0.016","6.533942"
"2021-11-07 02:30","408.45","408.45","408.45","408.45","0","0"
"2021-11-07 02:35","407.51","406","407.51","406","5","2031.642563"
"2021-11-07 02:40","406","406","406","406","0","0"
"2021-11-07 02:45","408.54","408.54","408.54","408.54","0.0816","33.336864"
"2021-11-07 02:50","408.54","408.54","408.54","408.54","0","0"
"2021-11-07 02:55","408.54","408.54","408.54","408.54","0","0"
"2021-11-07 03:00","408.54","408.54","408.54","408.54","0","0"
"2021-11-07 03:05","408.13","405.8","408.13","405.8","0.0076","3.088526"
"2021-11-07 03:10","405.8","405.8","405.8","405.8","0","0"
"2021-11-07 03:15","405.8","405.8","405.8","405.8","0","0"
"2021-11-07 03:20","405.72","405.3","405.72","405.3","0.115","46.61729"
"2021-11-07 03:25","405.3","405.3","405.3","405.3","0","0"
"2021-11-07 03:30","405.3","405.3","405.3","405.3","0","0"
"2021-11-07 03:35","407.72","409.94","409.94","407.72","4.3743","1785.837272"
"2021-11-07 03:40","409.94","409.94","409.94","409.94","0","0"
"2021-11-07 03:45","409.94","409.94","409.94","409.94","4.7087","1930.284478"
"2021-11-07 03:50","409.75","409.75","409.75","409.75","0.05086028","20.83999973"
"2021-11-07 03:55","409.75","409.75","409.75","409.75","0","0"
"2021-11-07 04:00","408.95","408.95","408.95","408.95","0.1113","45.516135"
"2021-11-07 04:05","408.95","408.95","408.95","408.95","0","0"
"2021-11-07 04:10","407.72","407.16","407.72","407.16","0.0195","7.940404"
"2021-11-07 04:15","408.55","408.55","408.55","408.55","0.0053","2.165315"
"2021-11-07 04:20","408.55","408.55","408.55","408.55","0","0"
"2021-11-07 04:25","408.55","408.55","408.55","408.55","0","0"
"2021-11-07 04:30","407.16","406.79","407.16","406.79","0.0905","36.817645"
"2021-11-07 04:35","406.71","406.19","406.71","406.19","0.091","36.988458"
"2021-11-07 04:40","406.19","406.19","406.19","406.19","0","0"
"2021-11-07 04:45","406.19","406.19","406.19","406.19","1.1699","475.201681"
"2021-11-07 04:50","406.19","407.76","407.76","406.19","0.0181","7.358633"
"2021-11-07 04:55","407.46","407.46","407.46","407.46","0.0011","0.448206"
"2021-11-07 05:00","406.49","406.49","406.49","406.49","0.0132","5.365668"
"2021-11-07 05:05","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:10","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:15","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:20","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:25","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:30","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:35","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:40","406.49","406.49","406.49","406.49","0","0"
"2021-11-07 05:45","406.02","405.3","406.02","405.3","0.0423","17.155967"
"2021-11-07 05:50","405.3","405.3","405.3","405.3","0.0125","5.06625"
