"time","open","close","high","low","volume","turnover"
"2021-09-07 20:20","0.343","0.3428","0.3435","0.3428","8420.47591283","2887.40144688069"
"2021-09-07 20:25","0.3436","0.3433","0.3437","0.3431","441.27703608","151.489529087088"
"2021-09-07 20:30","0.3426","0.342","0.3442","0.342","177.6315","60.94231685"
"2021-09-07 20:35","0.3427","0.3416","0.3434","0.3416","8795.06812042","3015.621788917934"
"2021-09-07 20:40","0.3433","0.3414","0.3444","0.3414","15848.67281289","5434.777773029316"
"2021-09-07 20:45","0.3411","0.3386","0.3411","0.3386","8217.6407","2788.95913779"
"2021-09-07 20:50","0.341","0.3464","0.3464","0.341","7815.76118071","2702.172653821092"
"2021-09-07 20:55","0.345","0.3471","0.3471","0.345","2452.10612497","848.103186957087"
"2021-09-07 21:00","0.3473","0.3492","0.3492","0.3467","4091.6025","1422.21819098"
"2021-09-07 21:05","0.3479","0.346","0.3492","0.346","75.6451","26.24511814"
"2021-09-07 21:10","0.3457","0.3438","0.3459","0.3438","1102.383","381.01441698"
"2021-09-07 21:15","0.3435","0.3411","0.3435","0.3411","386.9531","132.23556955"
"2021-09-07 21:20","0.3425","0.3403","0.3425","0.3403","54.7059","18.65200007"
"2021-09-07 21:25","0.3401","0.3387","0.3403","0.3372","795.7897","270.02171108"
"2021-09-07 21:30","0.34","0.3416","0.3416","0.34","138.7617","47.32864021"
"2021-09-07 21:35","0.3417","0.3391","0.3428","0.3391","280.5428","95.87726354"
"2021-09-07 21:40","0.3391","0.3371","0.3391","0.3371","261.8607","88.48478437"
"2021-09-07 21:45","0.3394","0.3395","0.3395","0.3394","175.5764","59.59076056"
"2021-09-07 21:50","0.34","0.3391","0.3422","0.3391","200.6081","68.40268714"
"2021-09-07 21:55","0.3391","0.3409","0.3409","0.3356","763.1758","258.86613042"
"2021-09-07 22:00","0.341","0.3383","0.341","0.3383","927.29981319","315.22821127779"
"2021-09-07 22:05","0.3409","0.3423","0.3423","0.3409","241.55938681","82.65332409221"
