"time","open","close","high","low","volume","turnover"
"2023-03-01 21:50","42.87","42.76","42.93","42.76","71.3373","3056.768466"
"2023-03-01 21:55","42.76","42.76","42.76","42.76","0.09","3.8484"
"2023-03-01 22:00","42.76","42.65","42.76","42.65","43.738","1868.295184"
"2023-03-01 22:05","42.66","42.73","42.73","42.66","11.3899","486.326233"
"2023-03-01 22:10","42.88","42.94","42.94","42.88","0.4459","19.145692"
"2023-03-01 22:15","42.94","42.94","42.94","42.94","0","0"
"2023-03-01 22:20","42.77","42.41","42.77","42.41","90.8848","3861.666215"
"2023-03-01 22:25","42.41","42.41","42.41","42.41","0","0"
"2023-03-01 22:30","42.41","42.41","42.41","42.4","93.7975","3977.840267"
"2023-03-01 22:35","42.33","42.23","42.33","42.23","165.7483","7003.767323"
"2023-03-01 22:40","42.38","42.38","42.38","42.38","3.5394","149.999772"
"2023-03-01 22:45","42.3","42.14","42.3","42.14","70.7694","2988.682243"
"2023-03-01 22:50","42.14","42.14","42.14","42.14","0","0"
"2023-03-01 22:55","42.13","42.08","42.13","42.08","0.0459","1.932972"
"2023-03-01 23:00","42.13","42.13","42.13","42.13","1.0625","44.763125"
"2023-03-01 23:05","42.18","42.39","42.39","42.18","69.6833","2941.073423"
"2023-03-01 23:10","42.32","42.32","42.32","42.32","49.2076","2082.465632"
"2023-03-01 23:15","42.32","42.32","42.32","42.32","0","0"
"2023-03-01 23:20","42.48","42.7","42.7","42.48","2.6398","112.611292"
"2023-03-01 23:25","42.73","42.93","43","42.73","31.1515","1338.057576"
"2023-03-01 23:30","42.91","43.03","43.03","42.91","15.7789","677.120599"
"2023-03-01 23:35","43.03","43.03","43.03","43.03","0","0"
"2023-03-01 23:40","42.95","42.95","42.95","42.95","0.3528","15.15276"
"2023-03-01 23:45","43.08","43.16","43.16","43.08","0.1642","7.0847"
"2023-03-01 23:50","43.11","43.13","43.13","43.11","11.7859","508.225867"
"2023-03-01 23:55","43.1","42.88","43.1","42.88","51.7932","2231.090415"
"2023-03-02 00:00","42.9","43.3","43.3","42.9","36.5041","1573.609263"
"2023-03-02 00:05","43.32","43.76","43.76","43.32","365.5005","15917.115688"
"2023-03-02 00:10","43.61","44.08","44.08","43.61","21.0484","922.026079"
"2023-03-02 00:15","44.19","44.05","44.19","43.89","272.9612","12027.092626"
"2023-03-02 00:20","43.88","43.95","43.95","43.84","315.9154","13862.182236"
"2023-03-02 00:25","44.02","44.1","44.18","44.02","114.2695","5042.327636"
"2023-03-02 00:30","44.1","43.98","44.14","43.98","327.9916","14448.079158"
"2023-03-02 00:35","44.02","43.88","44.16","43.88","240.7894","10611.961375"
"2023-03-02 00:40","43.93","43.93","43.93","43.93","11.6822","513.199046"
"2023-03-02 00:45","44.08","44.24","44.35","44.08","23.1261","1023.622348"
"2023-03-02 00:50","44.24","44.45","44.45","44.24","20.825","922.56581"
"2023-03-02 00:55","44.25","43.69","44.25","43.69","52.8356","2321.53791"
"2023-03-02 01:00","43.93","44.04","44.05","43.93","17.3134","762.449739"
"2023-03-02 01:05","44.04","44.04","44.04","44.04","0","0"
"2023-03-02 01:10","43.79","43.48","43.79","43.48","37.9373","1653.447147"
"2023-03-02 01:15","43.48","43.48","43.48","43.48","0","0"
"2023-03-02 01:20","43.52","43.44","43.52","43.44","93.9197","4082.317619"
"2023-03-02 01:25","43.43","43.3","43.43","43.3","9.4966","412.103879"
"2023-03-02 01:30","43.28","42.96","43.28","42.03","482.7039","20674.801687"
"2023-03-02 01:35","42.88","42.83","42.89","42.78","49.1353","2105.141265"
"2023-03-02 01:40","42.73","42.63","42.73","42.57","68.0793","2899.684941"
"2023-03-02 01:45","42.87","42.86","43","42.86","7.9799","342.179399"
"2023-03-02 01:50","42.79","42.82","42.86","42.79","20.7865","890.445188"
"2023-03-02 01:55","42.86","42.81","43.01","42.81","20.5159","880.105833"
"2023-03-02 02:00","42.76","42.76","42.76","42.69","33.7514","1441.791948"
"2023-03-02 02:05","42.81","42.83","42.83","42.81","0.6808","29.150664"
"2023-03-02 02:10","42.68","42.68","42.68","42.61","17.6298","751.707634"
"2023-03-02 02:15","42.74","42.74","42.74","42.74","1.9434","83.060916"
"2023-03-02 02:20","42.74","42.81","42.81","42.68","31.4467","1343.44751"
"2023-03-02 02:25","42.85","42.95","42.95","42.75","77.6822","3327.021888"
"2023-03-02 02:30","43","42.96","43.13","42.96","33.3973","1437.18071"
"2023-03-02 02:35","42.93","42.9","42.93","42.9","0.309","13.257"
"2023-03-02 02:40","42.88","42.72","42.88","42.72","3.0603","130.739724"
"2023-03-02 02:45","42.68","42.08","42.68","42.08","61.482","2608.899358"
"2023-03-02 02:50","42.11","41.79","42.11","41.79","60.0522","2522.825429"
"2023-03-02 02:55","41.84","42.21","42.21","41.84","68.9008","2901.239595"
"2023-03-02 03:00","42.17","42.39","42.39","42.17","67.9946","2872.592195"
"2023-03-02 03:05","42.19","41.8","42.19","41.8","124.7654","5256.559125"
"2023-03-02 03:10","41.91","42.08","42.08","41.91","1.4411","60.399204"
"2023-03-02 03:15","42.13","42.43","42.44","42.13","32.1118","1362.141398"
"2023-03-02 03:20","42.44","42.88","43.03","42.44","78.1969","3346.277757"
"2023-03-02 03:25","42.93","42.64","42.98","42.64","44.4572","1899.388019"
"2023-03-02 03:30","42.74","42.72","42.74","42.72","23.5126","1004.695554"
"2023-03-02 03:35","42.58","42.46","42.58","42.46","17.7719","754.777017"
"2023-03-02 03:40","42.46","42.46","42.46","42.46","0","0"
"2023-03-02 03:45","42.53","42.4","42.53","42.4","1.5254","64.823262"
"2023-03-02 03:50","42.43","42.5","42.5","42.43","17.1154","726.658706"
"2023-03-02 03:55","42.38","42.38","42.38","42.38","0.4","16.952"
"2023-03-02 04:00","42.33","42.23","42.33","42.23","4.1575","175.77074"
"2023-03-02 04:05","42.17","42.22","42.22","42.04","24.333","1025.169523"
"2023-03-02 04:10","42.22","42.22","42.22","42.22","0","0"
"2023-03-02 04:15","42.22","42.22","42.22","42.22","0","0"
"2023-03-02 04:20","42.21","42.12","42.21","42.12","15.801","665.539479"
"2023-03-02 04:25","42.07","42.16","42.29","42","52.8241","2227.8405"
"2023-03-02 04:30","42.16","42.16","42.16","42.16","0","0"
"2023-03-02 04:35","42.14","42.14","42.14","42.14","0.0967","4.074938"
"2023-03-02 04:40","42.33","42.35","42.35","42.33","4.7225","199.997275"
"2023-03-02 04:45","42.19","42.18","42.19","42.18","21","885.89"
"2023-03-02 04:50","42.19","42.06","42.19","42.05","109.8622","4630.326393"
"2023-03-02 04:55","42.19","42.2","42.2","42.19","10.0528","424.227137"
"2023-03-02 05:00","42.18","42.28","42.28","42.18","61.5731","2598.140923"
"2023-03-02 05:05","42.14","42.18","42.18","42.14","39.322","1657.623455"
"2023-03-02 05:10","42.16","42.16","42.16","42.16","51.1504","2156.500864"
"2023-03-02 05:15","42.15","42.27","42.27","42.15","5.187","218.715204"
"2023-03-02 05:20","42.25","42.25","42.25","42.25","0.1354","5.72065"
"2023-03-02 05:25","42.31","42.31","42.31","42.31","0.1181","4.996811"
"2023-03-02 05:30","42.31","42.31","42.31","42.31","0","0"
"2023-03-02 05:35","42.08","42.01","42.12","42.01","20.8768","878.21418"
"2023-03-02 05:40","42","41.93","42","41.93","1.6033","67.252599"
"2023-03-02 05:45","42.02","42.02","42.02","42.02","10","420.2"
"2023-03-02 05:50","42.03","42.03","42.03","42.03","29.6676","1246.929228"
"2023-03-02 05:55","41.97","41.85","41.97","41.85","61.2034","2564.754609"
"2023-03-02 06:00","41.79","41.39","41.79","41.39","121.1603","5028.2827"
"2023-03-02 06:05","41.36","40.67","41.47","40.54","302.4479","12460.546043"
"2023-03-02 06:10","40.53","40.32","40.67","40.32","295.6247","12006.798931"
"2023-03-02 06:15","40.33","40.4","40.46","40.33","76.2503","3082.123712"
"2023-03-02 06:20","40.5","40.56","40.58","40.5","59.7125","2419.272846"
"2023-03-02 06:25","40.68","40.6","40.68","40.6","3.8708","157.439312"
"2023-03-02 06:30","40.7","40.81","40.81","40.7","18.5601","756.302568"
"2023-03-02 06:35","40.74","40.98","40.98","40.69","71.8547","2926.09209"
"2023-03-02 06:40","41.08","41.18","41.18","41.08","45.9508","1890.089358"
"2023-03-02 06:45","41.14","41.21","41.33","41.14","69.9457","2880.328894"
"2023-03-02 06:50","41.21","41.21","41.21","41.21","0","0"
"2023-03-02 06:55","41.29","40.99","41.29","40.99","92.7732","3823.196762"
"2023-03-02 07:00","41.05","41.05","41.05","41.05","12.2294","502.01687"
"2023-03-02 07:05","41.15","41.24","41.25","41.15","1.5137","62.404507"
"2023-03-02 07:10","41.28","41.14","41.38","41.14","30.5618","1260.961276"
