"time","open","close","high","low","volume","turnover"
"2024-02-24 22:10","1.8867","1.884","1.8867","1.8749","13688.3205","25721.57856263"
"2024-02-24 22:15","1.8832","1.8968","1.8968","1.8832","4566.5514","8632.22428507"
"2024-02-24 22:20","1.8968","1.9","1.901","1.8962","6439.4845","12232.09125384"
"2024-02-24 22:25","1.9002","1.9071","1.9097","1.8984","7936.1517","15133.21032545"
"2024-02-24 22:30","1.9075","1.907","1.9108","1.9057","6857.8594","13091.12204039"
"2024-02-24 22:35","1.9056","1.9097","1.9097","1.9056","826.1526","1575.98736365"
"2024-02-24 22:40","1.909","1.9054","1.909","1.9043","3227.9054","6150.88978418"
"2024-02-24 22:45","1.9057","1.9102","1.9102","1.9043","5752.1963","10968.07773176"
"2024-02-24 22:50","1.9108","1.9084","1.913","1.9074","4106.7265","7843.48575707"
"2024-02-24 22:55","1.9083","1.9073","1.9084","1.9073","1198.0306","2285.88063992"
"2024-02-24 23:00","1.9075","1.9101","1.9113","1.9073","2199.6389","4202.98179588"
"2024-02-24 23:05","1.9131","1.908","1.9138","1.908","3995.4522","7635.23885214"
"2024-02-24 23:10","1.9107","1.9148","1.9162","1.9106","3012.563","5764.42295029"
"2024-02-24 23:15","1.914","1.9104","1.914","1.9097","4524.0183","8647.56684683"
"2024-02-24 23:20","1.9088","1.9043","1.9111","1.9043","9524.9968","18176.58382355"
"2024-02-24 23:25","1.9052","1.8995","1.9052","1.8986","17192.1257","32698.69550325"
"2024-02-24 23:30","1.9001","1.9003","1.9019","1.8992","3123.3753","5935.07811253"
"2024-02-24 23:35","1.9003","1.901","1.9011","1.8993","2476.8747","4706.44255182"
"2024-02-24 23:40","1.9002","1.8984","1.9002","1.8958","2700.9302","5127.39218809"
"2024-02-24 23:45","1.8978","1.8993","1.901","1.8978","6502.2923","12347.82404022"
"2024-02-24 23:50","1.8994","1.9006","1.9006","1.8952","6482.3418","12303.79497521"
"2024-02-24 23:55","1.8992","1.8956","1.8992","1.8956","1319.9189","2504.12266339"
"2024-02-25 00:00","1.8953","1.8956","1.9006","1.8953","3884.6856","7374.89324128"
"2024-02-25 00:05","1.8963","1.8913","1.897","1.8883","4679.4293","8850.11688398"
"2024-02-25 00:10","1.8921","1.8905","1.893","1.8881","10756.04","20325.48414932"
"2024-02-25 00:15","1.8894","1.888","1.8894","1.8879","1044.2075","1972.30043006"
"2024-02-25 00:20","1.8879","1.8821","1.8887","1.8774","13138.4936","24724.41907384"
"2024-02-25 00:25","1.8801","1.8814","1.8826","1.8792","2467.1514","4641.69186711"
"2024-02-25 00:30","1.8817","1.8832","1.8842","1.8807","4248.0885","7994.96625088"
"2024-02-25 00:35","1.8842","1.8882","1.8894","1.8842","7309.8259","13801.611642"
"2024-02-25 00:40","1.8878","1.8942","1.8942","1.8865","3075.6304","5806.98937827"
"2024-02-25 00:45","1.8946","1.8975","1.9035","1.8939","17016.8381","32341.75797228"
"2024-02-25 00:50","1.8979","1.8996","1.8996","1.8967","1366.2823","2594.46596454"
"2024-02-25 00:55","1.9013","1.9009","1.9035","1.8974","9356.4184","17777.75536388"
"2024-02-25 01:00","1.9029","1.9039","1.9064","1.8999","13911.4284","26488.7888979"
"2024-02-25 01:05","1.8998","1.8872","1.9019","1.8872","8344.6846","15838.1524544"
"2024-02-25 01:10","1.8868","1.8932","1.8948","1.8864","4346.7451","8220.19624855"
"2024-02-25 01:15","1.8939","1.901","1.9016","1.8933","2943.2253","5582.53336896"
"2024-02-25 01:20","1.9004","1.9","1.9006","1.8958","1323.9942","2514.64164027"
"2024-02-25 01:25","1.9018","1.8986","1.9026","1.8986","2179.3473","4142.99683594"
"2024-02-25 01:30","1.9003","1.9031","1.9049","1.9003","547.2718","1040.41908891"
"2024-02-25 01:35","1.9039","1.9009","1.9066","1.9009","5811.8931","11063.61551417"
"2024-02-25 01:40","1.9009","1.9061","1.9089","1.9009","3284.3891","6265.08242808"
"2024-02-25 01:45","1.909","1.912","1.912","1.9077","2430.4698","4641.79001553"
"2024-02-25 01:50","1.9121","1.9149","1.9153","1.9101","3346.0806","6402.6622925"
"2024-02-25 01:55","1.9142","1.9184","1.9185","1.9137","8259.7527","15826.38148604"
"2024-02-25 02:00","1.9184","1.919","1.9197","1.9125","899.1345","1721.82283461"
"2024-02-25 02:05","1.9194","1.9194","1.9209","1.9164","13409.3711","25729.05986649"
"2024-02-25 02:10","1.921","1.9214","1.9262","1.921","5181.2343","9970.06123218"
"2024-02-25 02:15","1.9239","1.9108","1.9246","1.9101","5637.5866","10813.64549054"
"2024-02-25 02:20","1.9153","1.925","1.925","1.9143","13478.3843","25859.13181023"
"2024-02-25 02:25","1.9251","1.9151","1.9254","1.9151","1451.0374","2785.51346243"
"2024-02-25 02:30","1.9216","1.9116","1.9216","1.9102","2307.7429","4419.05221492"
"2024-02-25 02:35","1.91","1.9063","1.91","1.9014","2900.5993","5521.62391477"
"2024-02-25 02:40","1.9052","1.9031","1.9086","1.9006","10325.8083","19666.72266058"
"2024-02-25 02:45","1.9041","1.9042","1.9042","1.9007","2138.4028","4069.2739495"
"2024-02-25 02:50","1.9062","1.9034","1.9062","1.9001","1311.2795","2494.20920301"
"2024-02-25 02:55","1.9025","1.904","1.904","1.9014","1801.0461","3425.45430002"
"2024-02-25 03:00","1.9038","1.9023","1.9038","1.9005","1691.9054","3217.89813945"
"2024-02-25 03:05","1.9001","1.8966","1.9001","1.8912","8089.837","15338.03825359"
"2024-02-25 03:10","1.8956","1.9088","1.9088","1.8956","7226.7292","13755.04772107"
"2024-02-25 03:15","1.91","1.9089","1.9119","1.9089","3824.6689","7307.61046822"
"2024-02-25 03:20","1.9069","1.9071","1.9071","1.9003","6061.9957","11532.27160083"
"2024-02-25 03:25","1.9077","1.9016","1.9087","1.8946","30412.4571","57875.96959033"
"2024-02-25 03:30","1.9016","1.902","1.9026","1.9006","3110.0407","5914.16397671"
"2024-02-25 03:35","1.902","1.8975","1.902","1.8924","10132.4707","19232.32584403"
"2024-02-25 03:40","1.8975","1.8973","1.9009","1.897","44018.4725","83539.64684334"
"2024-02-25 03:45","1.9001","1.9004","1.9042","1.8989","32981.1127","62686.99456815"
"2024-02-25 03:50","1.9","1.8996","1.9025","1.8995","2485.1772","4724.33929801"
"2024-02-25 03:55","1.9003","1.9007","1.9017","1.8992","4524.3261","8599.34560207"
"2024-02-25 04:00","1.9025","1.8999","1.9025","1.8992","4411.139","8388.65357482"
"2024-02-25 04:05","1.9","1.9013","1.9067","1.9","29622.301","56373.26146869"
"2024-02-25 04:10","1.9005","1.8974","1.9007","1.8948","8814.7347","16726.01338682"
"2024-02-25 04:15","1.8982","1.8969","1.9045","1.8969","7049.9608","13409.32868723"
"2024-02-25 04:20","1.8969","1.8997","1.9018","1.8969","4089.0945","7765.91244659"
"2024-02-25 04:25","1.8995","1.8965","1.8995","1.8961","4823.0715","9152.72793267"
"2024-02-25 04:30","1.8951","1.8916","1.8951","1.8879","16804.8379","31789.96878335"
"2024-02-25 04:35","1.8905","1.889","1.8905","1.8881","1508.4193","2849.33575698"
"2024-02-25 04:40","1.8898","1.8875","1.8898","1.8873","3100.3291","5854.73139168"
"2024-02-25 04:45","1.8875","1.8903","1.8918","1.8842","8288.612","15644.43605022"
"2024-02-25 04:50","1.8894","1.8921","1.893","1.8894","1589.7906","3006.51490736"
"2024-02-25 04:55","1.8916","1.8881","1.892","1.8826","12018.193","22684.74405938"
"2024-02-25 05:00","1.8873","1.8895","1.8899","1.8859","13172.4961","24861.91649416"
"2024-02-25 05:05","1.8884","1.8892","1.8912","1.8884","1982.7298","3747.59120942"
"2024-02-25 05:10","1.8885","1.8895","1.893","1.8885","5055.9105","9560.09283543"
"2024-02-25 05:15","1.8888","1.8874","1.8888","1.8861","2059.8736","3888.11698374"
"2024-02-25 05:20","1.8857","1.8902","1.8902","1.8856","3609.0817","6813.25522731"
"2024-02-25 05:25","1.889","1.8904","1.8904","1.8883","2693.1185","5087.99745416"
"2024-02-25 05:30","1.8892","1.8891","1.8927","1.889","2570.8907","4860.5479305"
"2024-02-25 05:35","1.8893","1.8897","1.8901","1.8882","1835.5036","3468.13873785"
"2024-02-25 05:40","1.8897","1.8899","1.8899","1.8886","27.6074","52.15633207"
"2024-02-25 05:45","1.8907","1.8884","1.8907","1.8884","6252.2607","11816.40115083"
"2024-02-25 05:50","1.8916","1.8986","1.8986","1.8916","2770.1881","5252.85230107"
"2024-02-25 05:55","1.8974","1.8957","1.8981","1.895","1305.2396","2473.70673866"
"2024-02-25 06:00","1.8972","1.8981","1.8989","1.8964","946.5551","1796.02681456"
"2024-02-25 06:05","1.8985","1.8966","1.8985","1.8965","1074.9256","2039.78193419"
"2024-02-25 06:10","1.897","1.9053","1.9066","1.897","9633.5371","18303.98035722"
"2024-02-25 06:15","1.9053","1.9031","1.9053","1.9029","2573.8593","4900.23808831"
"2024-02-25 06:20","1.8985","1.9","1.907","1.8985","15515.0852","29506.57640434"
"2024-02-25 06:25","1.9","1.9031","1.9082","1.9","8687.0159","16540.36621617"
"2024-02-25 06:30","1.9086","1.9008","1.9089","1.9008","5753.8396","10954.89030207"
"2024-02-25 06:35","1.9005","1.8998","1.9015","1.8989","2553.6848","4851.27337871"
"2024-02-25 06:40","1.9","1.9199","1.9228","1.8984","23613.7369","45250.78546755"
"2024-02-25 06:45","1.9194","1.9065","1.922","1.9063","27122.2216","51972.01242823"
"2024-02-25 06:50","1.9064","1.9007","1.9072","1.9007","18995.3298","36170.71954352"
