"time","open","close","high","low","volume","turnover"
"2023-11-26 22:05","0.4822","0.4792","0.4834","0.4749","7045.3205","3370.79454802"
"2023-11-26 22:10","0.476","0.4727","0.4776","0.4727","1440.4322","683.59815865"
"2023-11-26 22:15","0.4758","0.4673","0.4759","0.4673","10013.0749","4715.18470692"
"2023-11-26 22:20","0.4673","0.4708","0.4708","0.4669","1339.7096","627.17846128"
"2023-11-26 22:25","0.4708","0.4721","0.4721","0.4708","711.3125","335.56164915"
"2023-11-26 22:30","0.4717","0.4711","0.4717","0.4707","2586.9313","1218.47583983"
"2023-11-26 22:35","0.4694","0.4695","0.4703","0.4678","9601.0099","4503.73522536"
"2023-11-26 22:40","0.4678","0.4668","0.4695","0.4659","15346.7593","7178.03707649"
"2023-11-26 22:45","0.4651","0.4641","0.4682","0.464","22871.5648","10642.84229443"
"2023-11-26 22:50","0.4641","0.4624","0.4641","0.4622","22322.2682","10335.04880489"
"2023-11-26 22:55","0.4622","0.4612","0.4623","0.4574","15776.5877","7254.34473915"
"2023-11-26 23:00","0.4593","0.4587","0.4601","0.4574","9461.6128","4338.93153012"
"2023-11-26 23:05","0.4582","0.4587","0.4589","0.4576","18716.2783","8580.49750368"
"2023-11-26 23:10","0.4587","0.4566","0.4587","0.4566","16449.3592","7533.96682696"
"2023-11-26 23:15","0.4575","0.4582","0.4609","0.4575","22349.1469","10262.74717889"
"2023-11-26 23:20","0.457","0.457","0.457","0.457","336.4135","153.7409695"
"2023-11-26 23:25","0.4576","0.4578","0.4578","0.4572","12542.7062","5739.54073297"
"2023-11-26 23:30","0.4578","0.4606","0.4606","0.4572","13416.9331","6157.87220292"
"2023-11-26 23:35","0.4597","0.4607","0.4607","0.4597","16125.7611","7422.86635942"
"2023-11-26 23:40","0.4607","0.4605","0.4607","0.4594","15926.8426","7327.23933758"
"2023-11-26 23:45","0.4604","0.4602","0.4605","0.4602","2124.7061","978.26478182"
"2023-11-26 23:50","0.4608","0.4608","0.461","0.4604","11267.7275","5191.16052793"
"2023-11-26 23:55","0.4604","0.4602","0.4605","0.46","16289.2236","7497.66706056"
"2023-11-27 00:00","0.4598","0.4573","0.4602","0.4559","19906.3654","9154.79794333"
"2023-11-27 00:05","0.4575","0.4566","0.4575","0.455","25416.7135","11608.16827569"
"2023-11-27 00:10","0.4566","0.454","0.4566","0.4536","29802.3305","13553.48841161"
"2023-11-27 00:15","0.4536","0.4505","0.456","0.4505","26061.3426","11804.58597225"
"2023-11-27 00:20","0.4526","0.4527","0.4535","0.4522","2618.2239","1185.02570832"
"2023-11-27 00:25","0.4535","0.4541","0.4559","0.4524","6467.0513","2936.5844813"
"2023-11-27 00:30","0.4534","0.4534","0.4534","0.4534","220.5558","99.99999972"
"2023-11-27 00:35","0.4525","0.4539","0.4539","0.4525","2187.7648","992.47084169"
"2023-11-27 00:40","0.4535","0.4526","0.4535","0.4526","751.1471","340.17437631"
"2023-11-27 00:45","0.4533","0.4534","0.4543","0.4533","3075.4247","1395.31313474"
"2023-11-27 00:50","0.4534","0.4534","0.4534","0.4534","0","0"
"2023-11-27 00:55","0.4536","0.4532","0.4557","0.4529","1968.2101","893.01095816"
"2023-11-27 01:00","0.4531","0.453","0.4531","0.4527","2322.893","1052.16435548"
"2023-11-27 01:05","0.4527","0.4527","0.4527","0.4527","114.9161","52.02251847"
"2023-11-27 01:10","0.4534","0.4526","0.4534","0.4526","2117.6041","959.6106847"
"2023-11-27 01:15","0.453","0.4525","0.4534","0.4521","19616.8887","8885.49750237"
"2023-11-27 01:20","0.4525","0.4518","0.4526","0.4511","19067.2592","8616.63624069"
"2023-11-27 01:25","0.4518","0.4496","0.4519","0.4494","15530.5506","6995.68794511"
"2023-11-27 01:30","0.4496","0.4499","0.4499","0.4496","6724.1195","3024.60883679"
"2023-11-27 01:35","0.4493","0.4498","0.4498","0.4493","17215.381","7739.0936978"
"2023-11-27 01:40","0.4499","0.4498","0.4499","0.4493","21134.1922","9502.92390274"
"2023-11-27 01:45","0.4498","0.4502","0.4502","0.4495","15607.3261","7024.20796203"
"2023-11-27 01:50","0.4497","0.4489","0.4497","0.4488","18779.1736","8437.61114038"
"2023-11-27 01:55","0.449","0.4487","0.4492","0.4487","9782.746","4393.26145408"
"2023-11-27 02:00","0.4494","0.4497","0.4497","0.4494","720.3734","323.7361986"
"2023-11-27 02:05","0.4499","0.4521","0.4521","0.4499","14753.721","6660.93423919"
"2023-11-27 02:10","0.4515","0.4523","0.4526","0.4515","24389.7623","11024.97797072"
"2023-11-27 02:15","0.4523","0.4528","0.4529","0.4516","21909.2738","9906.63205401"
"2023-11-27 02:20","0.4534","0.4634","0.4634","0.4534","18695.7475","8518.25158038"
"2023-11-27 02:25","0.4635","0.4703","0.4722","0.4635","21566.3983","10101.24233873"
"2023-11-27 02:30","0.4723","0.4791","0.4811","0.4723","14120.6603","6755.63536185"
"2023-11-27 02:35","0.4796","0.4809","0.4812","0.4796","2663.0236","1280.47135284"
"2023-11-27 02:40","0.4812","0.4861","0.4861","0.4812","6452.0947","3120.05083496"
"2023-11-27 02:45","0.4863","0.4896","0.4913","0.4863","6257.2596","3064.40093819"
"2023-11-27 02:50","0.49","0.4904","0.4904","0.4883","6204.8826","3037.28139841"
"2023-11-27 02:55","0.4906","0.4866","0.4906","0.4863","5185.4981","2527.49193135"
"2023-11-27 03:00","0.4865","0.4854","0.4871","0.4854","3168.1038","1539.88453837"
"2023-11-27 03:05","0.4856","0.4816","0.4863","0.4815","3933.4232","1902.2910928"
"2023-11-27 03:10","0.4816","0.4765","0.4816","0.4765","10293.5099","4932.58035437"
"2023-11-27 03:15","0.4765","0.4735","0.4772","0.4728","5929.5169","2817.2831863"
"2023-11-27 03:20","0.4724","0.47","0.4724","0.47","15852.0005","7463.06057209"
"2023-11-27 03:25","0.4698","0.4702","0.4724","0.4688","30479.921","14330.57397007"
"2023-11-27 03:30","0.4702","0.4676","0.4702","0.4645","22381.5684","10448.89608494"
"2023-11-27 03:35","0.4675","0.4675","0.4695","0.4673","23924.1708","11191.46828943"
"2023-11-27 03:40","0.4674","0.4645","0.4675","0.464","31483.6071","14671.11357345"
"2023-11-27 03:45","0.4647","0.4626","0.4648","0.4626","9423.3125","4377.89040084"
