"time","open","close","high","low","volume","turnover"
"2023-07-29 22:05","2.3483","2.354","2.354","2.3483","2159.9638","5074.28329589"
"2023-07-29 22:10","2.354","2.3537","2.3577","2.3523","7421.6124","17483.88983475"
"2023-07-29 22:15","2.3553","2.3535","2.3554","2.3505","1645.9224","3873.24749997"
"2023-07-29 22:20","2.3536","2.3549","2.3549","2.3515","1719.5286","4046.64145513"
"2023-07-29 22:25","2.3563","2.3555","2.3578","2.3514","5137.8005","12101.31964289"
"2023-07-29 22:30","2.3556","2.3521","2.3556","2.3519","236.4627","556.96652751"
"2023-07-29 22:35","2.3499","2.3487","2.3511","2.3477","2623.7787","6163.19700897"
"2023-07-29 22:40","2.3487","2.3503","2.3503","2.3484","62.2995","146.34061941"
"2023-07-29 22:45","2.3508","2.3578","2.3579","2.3491","520.5353","1224.11718685"
"2023-07-29 22:50","2.3578","2.3501","2.3578","2.3489","1868.312","4395.34415576"
"2023-07-29 22:55","2.35","2.3502","2.3509","2.35","87.1339","204.80692137"
"2023-07-29 23:00","2.3507","2.346","2.3526","2.346","1069.904","2513.86475906"
"2023-07-29 23:05","2.3452","2.3442","2.3465","2.3407","1899.9863","4455.69320232"
"2023-07-29 23:10","2.3422","2.3454","2.3455","2.34","3686.5048","8635.91646958"
"2023-07-29 23:15","2.3454","2.3471","2.3478","2.3454","121.0074","283.91426688"
"2023-07-29 23:20","2.3483","2.3509","2.3509","2.3479","4606.4027","10818.95661932"
"2023-07-29 23:25","2.3511","2.3536","2.3543","2.3511","4643.2803","10924.76807981"
"2023-07-29 23:30","2.3528","2.3517","2.3537","2.351","5384.2184","12665.43267625"
"2023-07-29 23:35","2.3531","2.3528","2.3531","2.3517","43.092","101.38637715"
"2023-07-29 23:40","2.3549","2.3541","2.363","2.3514","3876.2174","9136.08996706"
"2023-07-29 23:45","2.3527","2.3529","2.3537","2.3517","317.5792","746.95733723"
"2023-07-29 23:50","2.3511","2.3499","2.3511","2.3474","3637.9192","8544.45406709"
"2023-07-29 23:55","2.3486","2.3467","2.3506","2.3467","360.2984","846.47593295"
"2023-07-30 00:00","2.3464","2.3414","2.3488","2.339","3169.1572","7420.14053832"
"2023-07-30 00:05","2.3415","2.3446","2.3448","2.3373","3676.2796","8606.53407387"
"2023-07-30 00:10","2.3463","2.3476","2.35","2.3438","349.3973","819.8992797"
"2023-07-30 00:15","2.3499","2.3487","2.3513","2.3476","1574.9958","3700.87533774"
"2023-07-30 00:20","2.3482","2.3504","2.3513","2.3477","3062.3751","7192.24671958"
"2023-07-30 00:25","2.352","2.3563","2.3594","2.352","2511.711","5916.47037732"
"2023-07-30 00:30","2.3569","2.3673","2.3765","2.3569","8241.9888","19507.85231839"
"2023-07-30 00:35","2.3675","2.4642","2.4762","2.3655","30028.0944","72878.03972482"
"2023-07-30 00:40","2.4608","2.4274","2.4925","2.425","39474.583","96956.51253873"
"2023-07-30 00:45","2.4299","2.4328","2.4401","2.424","7259.1443","17643.47341548"
"2023-07-30 00:50","2.4307","2.4348","2.4385","2.4283","19792.478","48193.34416994"
"2023-07-30 00:55","2.4367","2.4145","2.4457","2.36","79884.6611","191703.21638128"
"2023-07-30 01:00","2.4149","2.4043","2.4153","2.3991","4029.1746","9699.59759668"
"2023-07-30 01:05","2.4052","2.4152","2.4152","2.4052","6108.7719","14730.36096235"
"2023-07-30 01:10","2.4128","2.4065","2.4128","2.4037","4525.6397","10892.46623521"
"2023-07-30 01:15","2.4077","2.4204","2.4206","2.4077","3951.2185","9545.26188465"
"2023-07-30 01:20","2.4197","2.4079","2.4211","2.4079","19943.4967","48204.99112366"
"2023-07-30 01:25","2.4087","2.4112","2.4137","2.4044","6530.0889","15733.05744928"
"2023-07-30 01:30","2.4112","2.4194","2.4259","2.411","3626.9868","8770.03583002"
"2023-07-30 01:35","2.4234","2.4211","2.4252","2.4168","8235.9378","19932.97849873"
"2023-07-30 01:40","2.4206","2.4209","2.4288","2.4186","8075.8425","19577.31044594"
"2023-07-30 01:45","2.4219","2.4367","2.4383","2.4204","6514.3149","15845.99408453"
"2023-07-30 01:50","2.4366","2.4392","2.4412","2.4359","3134.123","7642.22300777"
"2023-07-30 01:55","2.4391","2.4322","2.4434","2.4322","14137.8174","34449.89836751"
"2023-07-30 02:00","2.4332","2.4414","2.4437","2.4289","9712.5346","23645.60477221"
"2023-07-30 02:05","2.4417","2.4474","2.4805","2.4408","15335.8483","37768.26452315"
"2023-07-30 02:10","2.4474","2.449","2.449","2.441","2839.203","6947.76161275"
"2023-07-30 02:15","2.4472","2.4567","2.4646","2.4371","12422.9521","30497.75508952"
"2023-07-30 02:20","2.4567","2.4577","2.464","2.4554","5385.3537","13251.57038156"
"2023-07-30 02:25","2.4568","2.442","2.458","2.4418","5185.7074","12701.67311718"
"2023-07-30 02:30","2.4433","2.4323","2.4486","2.4302","9482.018","23122.05348163"
"2023-07-30 02:35","2.4339","2.4378","2.4401","2.4325","6611.0651","16105.15283309"
"2023-07-30 02:40","2.4373","2.4251","2.4381","2.4251","1803.3519","4389.61255285"
"2023-07-30 02:45","2.425","2.4339","2.4386","2.4172","25140.6441","60957.68659933"
"2023-07-30 02:50","2.4339","2.422","2.4343","2.422","6420.5296","15594.53676247"
"2023-07-30 02:55","2.4231","2.4257","2.4302","2.4228","4667.3537","11318.46565137"
"2023-07-30 03:00","2.4264","2.4194","2.4281","2.415","4797.633","11625.02847404"
"2023-07-30 03:05","2.4211","2.3993","2.4211","2.397","16891.0235","40609.67399133"
