"time","open","close","high","low","volume","turnover"
"2021-10-07 20:20","7.781","7.875","7.875","7.778","166.49172461","1307.84233422857"
"2021-10-07 20:25","7.851","7.821","7.851","7.821","130.05319235","1017.5901635475"
"2021-10-07 20:30","7.82","7.787","7.82","7.787","155.9225","1215.9524417"
"2021-10-07 20:35","7.818","7.818","7.818","7.818","0.4383","3.4266294"
"2021-10-07 20:40","7.801","7.801","7.801","7.801","0.4529","3.5330729"
"2021-10-07 20:45","7.818","7.92","7.92","7.818","999.2676","7891.1864266"
"2021-10-07 20:50","7.923","7.97","7.97","7.92","410.1892","3260.9305495"
"2021-10-07 20:55","7.937","7.935","7.98","7.907","2460.2725","19627.0581517"
"2021-10-07 21:00","7.903","7.903","7.943","7.903","184.1305","1459.3468815"
"2021-10-07 21:05","7.903","7.9","7.903","7.9","4.2581","33.6442913"
"2021-10-07 21:10","7.9","7.9","7.9","7.9","0","0"
"2021-10-07 21:15","7.9","7.9","7.9","7.9","0","0"
"2021-10-07 21:20","7.897","7.898","7.898","7.895","2.0773","16.4005672"
"2021-10-07 21:25","7.895","7.871","7.896","7.848","378.8604","2982.214175"
"2021-10-07 21:30","7.879","7.88","7.88","7.871","141.1972","1111.7649241"
"2021-10-07 21:35","7.88","7.879","7.887","7.879","34.75979927","273.90935594249"
"2021-10-07 21:40","7.879","7.876","7.879","7.876","0.0409","0.3222019"
"2021-10-07 21:45","7.876","7.87","7.915","7.87","520.8005","4108.9041834"
"2021-10-07 21:50","7.87","7.87","7.87","7.87","0","0"
"2021-10-07 21:55","7.87","7.87","7.87","7.87","0","0"
"2021-10-07 22:00","7.879","7.879","7.879","7.879","0.0167","0.1315793"
"2021-10-07 22:05","7.879","7.87","7.879","7.87","100.0141","787.3910375"
"2021-10-07 22:10","7.87","7.846","7.87","7.846","5.646","44.3249043"
"2021-10-07 22:15","7.846","7.846","7.846","7.846","0","0"
"2021-10-07 22:20","7.847","7.847","7.847","7.847","0.0542","0.4253074"
"2021-10-07 22:25","7.847","7.872","7.891","7.844","627.4291","4938.1806853"
"2021-10-07 22:30","7.846","7.813","7.846","7.813","36.8525","288.4877214"
"2021-10-07 22:35","7.813","7.813","7.813","7.813","0","0"
"2021-10-07 22:40","7.813","7.813","7.813","7.813","0","0"
"2021-10-07 22:45","7.829","7.821","7.829","7.821","3.39649653","26.58711853337"
"2021-10-07 22:50","7.841","7.842","7.842","7.841","1.55174792","12.16827558864"
"2021-10-07 22:55","7.813","7.82","7.836","7.813","166.2142","1300.7031804"
"2021-10-07 23:00","7.828","7.828","7.828","7.828","0.038","0.297464"
"2021-10-07 23:05","7.819","7.819","7.819","7.819","3.3173","25.9379687"
"2021-10-07 23:10","7.819","7.819","7.819","7.819","0","0"
"2021-10-07 23:15","7.819","7.819","7.819","7.819","0.0118","0.0922642"
"2021-10-07 23:20","7.826","7.831","7.874","7.822","156.74743535","1230.46294718955"
"2021-10-07 23:25","7.822","7.838","7.838","7.822","474.059","3713.434442"
"2021-10-07 23:30","7.827","7.868","8.001","7.819","2175.37963022","17273.94525247208"
"2021-10-07 23:35","7.867","7.824","7.88","7.75","1316.6831","10261.0798385"
"2021-10-07 23:40","7.806","7.813","7.813","7.806","28.5","222.6005"
"2021-10-07 23:45","7.78","7.78","7.78","7.78","0.0324","0.252072"
"2021-10-07 23:50","7.78","7.788","7.813","7.78","131.1466","1022.3211714"
"2021-10-07 23:55","7.793","7.793","7.808","7.793","227.5443","1774.3638234"
"2021-10-08 00:00","7.797","7.821","7.821","7.797","220","1717.54"
"2021-10-08 00:05","7.821","7.839","7.839","7.821","178.1418","1394.6220038"
"2021-10-08 00:10","7.821","7.848","7.851","7.821","212.2946","1662.8666506"
"2021-10-08 00:15","7.851","7.833","7.863","7.805","228.7175","1790.7382653"
"2021-10-08 00:20","7.818","7.809","7.833","7.809","251.97421494","1972.00903597104"
"2021-10-08 00:25","7.817","7.796","7.833","7.796","253.66120491","1984.23059088638"
"2021-10-08 00:30","7.805","7.797","7.805","7.796","163.4484","1274.2941475"
"2021-10-08 00:35","7.797","7.79","7.797","7.79","115.31130284","898.82943552644"
"2021-10-08 00:40","7.79","7.708","7.79","7.701","304.6508","2357.7510957"
"2021-10-08 00:45","7.743","7.75","7.75","7.743","141.5383","1096.7734599"
"2021-10-08 00:50","7.75","7.751","7.751","7.75","16.5787","128.4850129"
"2021-10-08 00:55","7.751","7.755","7.756","7.751","161.11752707","1248.86633312785"
"2021-10-08 01:00","7.751","7.773","7.773","7.75","563.6332","4371.1085286"
"2021-10-08 01:05","7.776","7.843","7.843","7.776","700.0258","5468.088025"
"2021-10-08 01:10","7.79","7.843","7.843","7.79","106.0203","831.5130259"
"2021-10-08 01:15","7.79","7.79","7.79","7.79","19.2223","149.741717"
"2021-10-08 01:20","7.782","7.782","7.782","7.782","0.0354","0.2754828"
"2021-10-08 01:25","7.782","7.835","7.99","7.782","1352.56461229","10692.75401920472"
"2021-10-08 01:30","7.834","7.78","7.834","7.78","206.4745","1608.3804676"
"2021-10-08 01:35","7.813","7.878","7.878","7.813","204.88358076","1606.51299992728"
"2021-10-08 01:40","7.82","7.825","7.825","7.817","15.0756","117.8987631"
"2021-10-08 01:45","7.817","7.77","7.818","7.77","361.5329","2812.6971699"
"2021-10-08 01:50","7.785","7.818","7.818","7.785","96.0734","750.4170126"
"2021-10-08 01:55","7.818","7.818","7.818","7.818","0","0"
"2021-10-08 02:00","7.83","7.83","7.83","7.83","0.0325","0.254475"
"2021-10-08 02:05","7.83","7.75","7.83","7.75","274.3156","2127.5721766"
"2021-10-08 02:10","7.762","7.762","7.762","7.762","1.6562","12.8554244"
"2021-10-08 02:15","7.749","7.73","7.749","7.73","88.1979","682.563179"
