"time","open","close","high","low","volume","turnover"
"2024-02-24 22:10","2.3016","2.3262","2.3262","2.2999","13796.1961","31866.62676785"
"2024-02-24 22:15","2.3265","2.32","2.3355","2.32","7405.3961","17228.62956717"
"2024-02-24 22:20","2.3261","2.337","2.337","2.3158","15884.2114","36873.68752122"
"2024-02-24 22:25","2.3372","2.341","2.3529","2.3358","12963.5969","30368.51360276"
"2024-02-24 22:30","2.3382","2.3392","2.3393","2.3298","10251.8208","23959.73777877"
"2024-02-24 22:35","2.33","2.3277","2.33","2.3209","6603.2627","15369.89708466"
"2024-02-24 22:40","2.33","2.3365","2.3388","2.3274","1720.5531","4013.39415219"
"2024-02-24 22:45","2.3288","2.3328","2.3398","2.3269","2633.9179","6136.2678252"
"2024-02-24 22:50","2.3292","2.3212","2.3292","2.3212","3623.4184","8422.71904019"
"2024-02-24 22:55","2.321","2.331","2.3403","2.3209","4307.5969","10041.25461082"
"2024-02-24 23:00","2.3288","2.3258","2.3288","2.3227","646.4839","1503.47309766"
"2024-02-24 23:05","2.3252","2.321","2.3255","2.3182","2754.8157","6393.01353741"
"2024-02-24 23:10","2.323","2.3198","2.3261","2.3198","6830.9408","15866.79220003"
"2024-02-24 23:15","2.3195","2.3187","2.3195","2.3187","159.5493","370.06942607"
"2024-02-24 23:20","2.3172","2.322","2.3261","2.3172","821.416","1907.47612946"
"2024-02-24 23:25","2.3174","2.3158","2.3174","2.3158","153.1069","354.63062484"
"2024-02-24 23:30","2.317","2.3096","2.317","2.3096","567.8838","1313.55293484"
"2024-02-24 23:35","2.309","2.312","2.312","2.3062","7280.991","16808.42000522"
"2024-02-24 23:40","2.3097","2.3196","2.3196","2.3097","661.8269","1531.9062529"
"2024-02-24 23:45","2.3103","2.3126","2.3126","2.3103","932.6972","2155.99799829"
"2024-02-24 23:50","2.3191","2.3224","2.3227","2.3178","350.8366","813.98848739"
"2024-02-24 23:55","2.3259","2.328","2.328","2.3259","107.2062","249.3660336"
"2024-02-25 00:00","2.3281","2.3163","2.3366","2.3136","2689.3057","6248.15443354"
"2024-02-25 00:05","2.3158","2.3069","2.3158","2.3069","3710.3991","8573.574154"
"2024-02-25 00:10","2.3071","2.2994","2.3071","2.2994","6055.3698","13942.14460282"
"2024-02-25 00:15","2.2993","2.2944","2.3015","2.2914","4033.2897","9265.53166416"
"2024-02-25 00:20","2.2945","2.2864","2.2945","2.2806","8393.835","19179.92716103"
"2024-02-25 00:25","2.2867","2.2868","2.288","2.2768","4290.8402","9795.07862114"
"2024-02-25 00:30","2.2932","2.2895","2.2932","2.2874","1652.5698","3786.92234527"
"2024-02-25 00:35","2.2826","2.2972","2.2972","2.2807","895.3352","2047.10562086"
"2024-02-25 00:40","2.2837","2.2865","2.288","2.2837","1482.7252","3390.10399446"
"2024-02-25 00:45","2.2884","2.288","2.2884","2.2847","6119.0962","14000.00258814"
"2024-02-25 00:50","2.288","2.2917","2.2972","2.288","4756.2882","10892.06687253"
"2024-02-25 00:55","2.2914","2.2982","2.2992","2.2914","578.9579","1328.30429357"
"2024-02-25 01:00","2.2997","2.3284","2.3287","2.2997","3265.2074","7581.91210475"
"2024-02-25 01:05","2.3288","2.3147","2.3309","2.3138","4631.0532","10742.34085517"
"2024-02-25 01:10","2.3182","2.301","2.3204","2.301","7180.0056","16594.70216734"
"2024-02-25 01:15","2.3006","2.3067","2.3135","2.299","1932.6343","4458.76119799"
"2024-02-25 01:20","2.3042","2.3023","2.3045","2.3","1490.7978","3433.6797984"
"2024-02-25 01:25","2.3085","2.3143","2.322","2.3085","15711.4581","36448.95498737"
